range,Precipitation,Hazen frequency,Parametre de  gumbel(u)
1,0.0,1.1836000378752012e-05,-2.4287211264859194
2,0.0,3.550800113625604e-05,-2.326863229726355
3,0.0,5.9180001893760064e-05,-2.275720127649802
4,0.0,8.285200265126408e-05,-2.240545276013072
5,0.0,0.00010652400340876811,-2.2134412855269043
6,0.0,0.00013019600416627213,-2.1912589872717056
7,0.0,0.00015386800492377616,-2.172409826155444
8,0.0,0.0001775400056812802,-2.1559759397709404
9,0.0,0.0002012120064387842,-2.141377238646235
10,0.0,0.00022488400719628823,-2.1282228739364415
11,0.0,0.00024855600795379223,-2.1162365210924
12,0.0,0.0002722280087112963,-2.1052153470702204
13,0.0,0.0002959000094688003,-2.095005906904487
14,0.0,0.00031957201022630435,-2.0854892083011647
15,0.0,0.00034324401098380835,-2.076571045926078
16,0.0,0.00036691601174131236,-2.068175516031057
17,0.0,0.0003905880124988164,-2.0602405301964444
18,0.0,0.0004142600132563204,-2.052714629828289
19,0.0,0.0004379320140138244,-2.0455546724974982
20,0.0,0.0004616040147713285,-2.038724117902373
21,0.0,0.0004852760155288325,-2.032191735669168
22,0.0,0.0005089480162863365,-2.0259306159188104
23,0.0,0.0005326200170438405,-2.01991740105048
24,0.0,0.0005562920178013446,-2.014131681765816
25,0.0,0.0005799640185588486,-2.0085555168059654
26,0.0,0.0006036360193163526,-2.0031730471027376
27,0.0,0.0006273080200738567,-1.9979701828488474
28,0.0,0.0006509800208313606,-1.9929343475042116
29,0.0,0.0006746520215888647,-1.9880542667066294
30,0.0,0.0006983240223463687,-1.983319792926584
31,0.0,0.0007219960231038727,-1.978721758818801
32,0.0,0.0007456680238613767,-1.9742518537960558
33,0.0,0.0007693400246188808,-1.9699025195341842
34,0.0,0.0007930120253763849,-1.9656668610166361
35,0.0,0.0008166840261338888,-1.9615385704168005
36,0.0,0.0008403560268913929,-1.9575118616501106
37,0.0,0.0008640280276488969,-1.9535814138443273
38,0.0,0.0008877000284064009,-1.9497423223036783
39,0.0,0.0009113720291639049,-1.945990055801631
40,0.0,0.000935044029921409,-1.9423204192435903
41,0.0,0.0009587160306789129,-1.9387295209064621
42,0.0,0.0009823880314364171,-1.9352137435956887
43,0.0,0.001006060032193921,-1.9317697191688592
44,0.0,0.001029732032951425,-1.9283943059635114
45,0.0,0.001053404033708929,-1.9250845687393496
46,0.0,0.0010770760344664331,-1.9218377608049404
47,0.0,0.0011007480352239372,-1.9186513080484948
48,0.0,0.0011244200359814412,-1.9155227946335547
49,0.0,0.001148092036738945,-1.91244995015482
50,0.0,0.0011717640374964491,-1.9094306380782058
51,0.0,0.0011954360382539532,-1.906462845313531
52,0.0,0.0012191080390114573,-1.9035446727887488
53,0.0,0.0012427800397689613,-1.9006743269120523
54,0.0,0.0012664520405264654,-1.897850111822988
55,0.0,0.0012901240412839692,-1.8950704223463548
56,0.0,0.0013137960420414733,-1.8923337375734874
57,0.0,0.0013374680427989773,-1.8896386150048208
58,0.0,0.0013611400435564814,-1.8869836851956345
59,0.0,0.0013848120443139854,-1.8843676468537973
60,0.0,0.0014084840450714895,-1.8817892623443098
61,0.0,0.0014321560458289936,-1.8792473535606549
62,0.0,0.0014558280465864974,-1.8767407981274793
63,0.0,0.0014795000473440015,-1.8742685259030891
64,0.0,0.0015031720481015055,-1.8718295157536844
65,0.0,0.0015268440488590096,-1.869422792574294
66,0.0,0.0015505160496165136,-1.8670474245340238
67,0.0,0.0015741880503740177,-1.864702520525579
68,0.0,0.0015978600511315215,-1.862387227801073
69,0.0,0.0016215320518890256,-1.8601007297779777
70,0.0,0.0016452040526465297,-1.8578422440006663
71,0.0,0.0016688760534040337,-1.855611020244449
72,0.0,0.0016925480541615378,-1.8534063387502622
73,0.0,0.0017162200549190418,-1.8512275085793195
74,0.0,0.0017398920556765459,-1.8490738660780284
75,0.0,0.0017635640564340497,-1.846944773444393
76,0.0,0.0017872360571915538,-1.8448396173879233
77,0.0,0.0018109080579490578,-1.8427578078758013
78,0.0,0.001834580058706562,-1.840698776958694
79,0.0,0.001858252059464066,-1.8386619776702016
80,0.0,0.00188192406022157,-1.8366468829944416
81,0.0,0.0019055960609790739,-1.834652984896752
82,0.0,0.001929268061736578,-1.832679793412918
83,0.0,0.001952940062494082,-1.8307268357927176
84,0.0,0.001976612063251586,-1.8287936556939295
85,0.0,0.00200028406400909,-1.8268798124232613
86,0.0,0.002023956064766594,-1.8249848802209447
87,0.0,0.002047628065524098,-1.823108447586009
88,0.0,0.002071300066281602,-1.8212501166394737
89,0.0,0.002094972067039106,-1.819409502522921
90,0.0,0.00211864406779661,-1.8175862328301113
91,0.0,0.0021423160685541142,-1.815779947069471
92,0.0,0.0021659880693116183,-1.8139902961554581
93,0.0,0.0021896600700691223,-1.8122169419269563
94,0.0,0.0022133320708266264,-1.8104595566909825
95,0.0,0.0022370040715841305,-1.808717822790125
96,0.0,0.0022606760723416345,-1.806991432192237
97,0.0,0.002284348073099138,-1.8052800861010216
98,0.0,0.002308020073856642,-1.8035834945862406
99,0.0,0.0023316920746141463,-1.801901376232364
100,0.0,0.0023553640753716503,-1.800233457804567
101,0.0,0.0023790360761291544,-1.7985794739310506
102,0.0,0.0024027080768866584,-1.796939166800732
103,0.0,0.0024263800776441625,-1.7953122858754222
104,0.0,0.0024500520784016665,-1.7936985876156561
105,0.0,0.0024737240791591706,-1.7920978352194088
106,0.0,0.0024973960799166747,-1.790509798372968
107,0.0,0.0025210680806741787,-1.7889342530132932
